source,target,weight
199bn,crpf,1
1u,disinfectants,1
1u,notmeus,1
60minutes,covid19,1
7minutebriefing,covid_19,1
7minutebriefing,domesticabuse,1
aa20,bellletstalk,1
aa20,covid_19,1
aa20,kidscantwait,1
aa20,spsm,1
aag,aag2020,2
abhealth,covid19ab,1
abhinhitokabhinahi,ayurved,2
abhinhitokabhinahi,पूछता_है_उपेक्षित_आयुर्वेद,3
abolishodishacontractualrules,equalpayforequalwork,1
ai,business,1
ai,camera,1
ai,coronavirus,1
ai,datalakes,1
ai,food,1
ai,iot,1
ai,machinelearning,1
ai,restaurants,1
ai,safe,1
airpollution,covid_19,1
airpollution,health,1
airtelpaymentsbank,airtelthanksapp,1
akp,allah,1
alabama,covid19,1
alhamdulillah,quran,1
alhamdulillah,ramadan,1
alzheimers,dementia,1
amgaspotlight,covid19,1
amreading,poetrycommunity,1
analytics,ai,1
analytics,datalakes,1
analytics,datascience,1
analytics,iot,1
analytics,machinelearning,1
ap,corona,1
ap,covid_19,1
apocalypse,covid_19,1
apple,google,1
apple,hackers,1
apple,optiv,1
armycdrnc,northerncomd,1
arrestmpbalasouri,covidiots,2
asd,adhd,1
asd,ocd,1
asian,chinese,1
asm,covid_19,1
assam,maharshtra,1
assam,vadodara,1
asymptomatic,carriers,1
asymptomatic,covid19,1
asymptomatic,covidtesting,1
asymptomatic,senseofsmell,1
asymptomatic,testing,1
ateez,에이티즈,1
atlanta,atl,1
australia,czech,1
australia,denmark,1
australia,greece,1
australia,israel,1
australia,new,1
aws,ai,1
aws,analytics,1
aws,bigdata,1
aws,covid19,1
aws,datalake,1
aws,datalakes,1
aws,datascience,1
aws,iot,1
aws,machinelearning,1
bankfromhome,digitalbanking,1
barber,covid,1
barber,covid19,1
barber,fundingtweets,1
barber,gofundme,1
barber,hedliash,1
barber,plz,1
barber,relief,1
barber,support,1
bccrss,disinfectant,1
bccrss,legal,1
behavior,leadership,1
bellletstalk,spsm,1
bengaluru,covid,1
bengaluru,karnataka,1
beyonce,coronavirus,1
beyonce,covid_19,1
beyonce,essentialworkers,1
bigavengersfamily,coronavirusde,1
bigavengersfamily,flattenthecurve,1
bigavengersfamily,socialdistancing,1
bigdata,ai,1
bigdata,analytics,1
bigdata,datalakes,1
bigdata,datascience,1
bigdata,iot,1
bigdata,machinelearning,1
bikaner,coronavirus,1
bikaner,negative,1
billgates,covid_19,1
bjp,coronavirus,1
bleachupthebum,latheredinlysol,1
breaking,covid_19,1
breaking,ramadan2020,1
buckeyes,osu,1
businesses,covid_19,1
buzzmanchester,covid_19,1
camera,coronavirus,1
camera,food,1
camera,restaurants,1
camera,safe,1
canadatogether,canpoli,1
canadatogether,onpoli,1
cannabis,covid_19,1
cardiacrehab,covid_19,1
carriers,covidtesting,1
carriers,senseofsmell,1
